Geography;vae;pve;gee;rqe;rle;cce;Population Density;year;code;health_sp_2019;health_sp_2018;health_sp_2017;government_spending_score;population;obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;gdp_per_capita;rural_population;tourism;unemployment;idh;escolaridade;institutional_index;percentage_rural_pop;sum_cont_stringency;count_cont_stringency;avg_stringency_index;institutional_index_new
Afghanistan;-1,006792426;-2,655531168;-1,463065028;-1,120689869;-1,713713884;-1,400732994;58,3;2019;AFG;7,6;6,4;5,7;80,3;38041800;5,1;Asia;2020-11-30;46215;1763;2,581;1160,148;44,257;12,04;1803,987;28244500;;10,98;0,511;3,8;-4,150502105;0,74245961;1793,97;30;54,16096386;0,006202733
Armenia;0,055476591;-0,413424373;-0,0666463;0,249007002;-0,130979955;-0,178283751;103,9;2019;ARM;58;53,8;55,8;79;2957700;22,1;Asia;2020-11-30;135124;2164;11,232;45524,991;729,079;;8787,58;1087900;1894000;18,81;0,776;11,7;-0,585918047;0,36781959;1793,97;30;54,16096386;0,442870319
Azerbaijan;-1,529507756;-0,68591243;-0,140170261;-0,226989061;-0,577151537;-0,837992847;120,8;2019;AZE;46,5;48,3;46,7;59,5;9981500;21,7;Asia;2020-11-30;121176;1392;6,018;11852,873;136,159;69,91;15847,419;4633800;3170000;4,84;0,756;10,7;-1,982400782;0,464238842;1793,97;30;54,16096386;0,271798818
Bangladesh;-0,741820931;-0,932975292;-0,74028492;-0,929072618;-0,636377156;-0,993473113;1252,6;2019;BGD;18,3;14,8;12,2;94,5;163046200;4;Asia;2020-11-30;464932;6644;5,098;2795,684;39,951;80,09;3523,984;102058800;323000;4,22;0,632;5,8;-2,414297762;0,625950191;1793,97;30;54,16096386;0,218890707
Bhutan;0,074757986;1,082095861;0,312439144;-0,327337414;0,590358734;1,618379712;20;2019;BTN;65,3;87;78,9;71,6;763100;6,9;Asia;2020-11-30;410;;4,885;525,708;;64,81;8708,597;445600;316000;2,27;0,654;3,1;0,999844998;0,583933954;1793,97;30;54,16096386;0,637128979
China;-1,628118157;-0,256689161;0,517000616;-0,244580179;-0,274603665;-0,2951186;149;2019;CHN;340,1;305,1;266,8;70,1;1398868500;7,7;Asia;2020-11-30;86588;4634;10,641;59,955;3,209;81,94;15308,712;565808400;162538000;4,6;0,761;7,8;-1,218898148;0,40447576;1793,97;30;54,16096386;0,365329185
Fiji;0,021415282;0,777670383;0,199617803;-0,219084874;-0,025181206;0,558968127;48,7;2019;FJI;172,1;183,8;159,6;71,7;890000;31,8;Oceania;2020-11-30;42;2;6,224;46,517;2,215;49,07;8702,975;384900;969000;4,11;0,743;10,8;0,115694425;0,43247191;240,27;7;57,06660377;0,528819036
India;0,26903984;-0,770800412;0,170880944;-0,160943687;-0,03046474;-0,254047185;446,2;2019;IND;10,6;9,6;8,5;77,3;1326619200;4,4;Asia;2020-11-30;9462809;137621;5,989;6791,121;98,766;68,98;6426,674;869199400;17914000;5,27;0,645;6,4;-0,686042223;0,655198869;1793,97;30;54,16096386;0,430604938
Indonesia;0,132109061;-0,493404567;0,182051226;-0,094393574;-0,342421323;-0,416032851;144,1;2019;IDN;56,3;54;48,8;91,4;270625600;8,1;Asia;2020-11-30;538883;16945;5,319;1949,919;61,315;64,35;11188,744;117600300;16107000;3,62;0,718;8;-0,821939477;0,434549799;1793,97;30;54,16096386;0,413957294
Japan;0,931342065;1,031847239;1,586322188;1,327069998;1,538248897;1,467199564;346,1;2019;JPN;3086,7;3032;2993,5;55;126167000;4,7;Asia;2020-11-30;148962;2076;27,049;1181,762;16,47;37,04;39002,223;10473000;31882000;2,4;0,919;12,8;2,858246268;0,083009028;1793,97;30;54,16096386;0,864786283
