Geography;Population Density;year;code;Healthspd;Government Spending Score;Population;Obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;Rural Population;institutional_index;percentage_rural_pop;institutional_index_new;turismo
Afghanistan;58,3;2019;AFG;7,6;80,3;38041800;5,1;Asia;30/11/2020;46215;1763;2,581;1160,148;44,257;12,04;28244500;-4,113827808;0,74245961;0,006504637;0
Armenia;103,9;2019;ARM;58;79;2957700;22,1;Asia;30/11/2020;135124;2164;11,232;45524,991;729,079;;1087900;-0,548544439;0,36781959;0,443194918;1894
Azerbaijan;120,8;2019;AZE;46,5;59,5;9981500;21,7;Asia;30/11/2020;121176;1392;6,018;11852,873;136,159;69,91;4633800;-1,946761426;0,464238842;0,271935664;3170
Bangladesh;1252,6;2019;BGD;18,3;94,5;163046200;4;Asia;30/11/2020;464932;6644;5,098;2795,684;39,951;80,09;102058800;-2,37816835;0,625950191;0,219095205;323
Bhutan;20;2019;BTN;65,3;71,6;763100;6,9;Asia;30/11/2020;410;;4,885;525,708;;64,81;445600;1,027347774;0,583933954;0,63621655;316
China;149;2019;CHN;340,1;70,1;1398868500;7,7;Asia;30/11/2020;86588;4634;10,641;59,955;3,209;81,94;565808400;-1,185340308;0,40447576;0,365197592;162538
Fiji;48,7;2019;FJI;172,1;71,7;890000;31,8;Oceania;30/11/2020;42;2;6,224;46,517;2,215;49,07;384900;0,148567983;0,43247191;0,528580058;969
India;446,2;2019;IND;10,6;77,3;1326619200;4,4;Asia;30/11/2020;9462809;137621;5,989;6791,121;98,766;68,98;869199400;-0,648140294;0,655198869;0,430996016;17914
Indonesia;144,1;2019;IDN;56,3;91,4;270625600;8,1;Asia;30/11/2020;538883;16945;5,319;1949,919;61,315;64,35;117600300;-0,78339138;0,434549799;0,414429918;16107
Japan;346,1;2019;JPN;3086,7;55;126167000;4,7;Asia;30/11/2020;148962;2076;27,049;1181,762;16,47;37,04;10473000;2,893751357;0,083009028;0,864821185;31882
Kazakhstan;6,8;2019;KAZ;197,7;83,7;18395600;22,6;Asia;30/11/2020;174563;2477;6,991;9189,965;130,403;69,91;7822700;-1,094247899;0,425248429;0,376354958;8515
Malaysia;99;2019;MYS;262,9;83,2;32523000;17,1;Asia;30/11/2020;65697;360;6,293;2004,412;10,984;80,09;7390300;0,743473994;0,227233035;0,601446545;26101
Maldives;1769,9;2019;MDV;35,9;60,8;531000;9,6;Asia;30/11/2020;13011;46;4,12;23933,998;84,618;;317300;-1,101028093;0,597551789;0,375524492;1703
Mongolia;2,1;2019;MNG;79,6;63,1;3225200;20,9;Asia;30/11/2020;801;;4,031;240,592;;85,19;1014500;-0,424400722;0,314554136;0,458400541;637
Myanmar;82,8;2019;MMR;15,5;85,4;54045400;6,3;Asia;30/11/2020;90713;1941;5,732;1655,165;35,416;79,63;37371300;-2,680476046;0,691479756;0,182067339;4364
Nepal;199,6;2019;NPL;18,9;83,7;28608700;4,1;Asia;30/11/2020;233452;1508;5,809;7866,98;50,817;60,19;22843200;-1,843950485;0,798470395;0,284528363;1197
Pakistan;280,9;2019;PAK;2,2;87,6;216565300;8,8;Asia;30/11/2020;400482;8091;4,495;1778,34;35,928;64,35;128441800;-2,693364261;0,593085781;0,180488739;0
Papua New Guinea;19,4;2019;PNG;32,6;89,1;8776100;20,9;Oceania;30/11/2020;656;7;3,808;71,938;0,768;37,96;7613300;-1,933886267;0,867503789;0,273512665;211
Philippines;362,6;2019;PHL;36,2;88,7;108116600;6,8;Asia;30/11/2020;431630;8392;4,803;3886,916;75,572;68,98;51721300;-1,118125493;0,478384448;0,373430334;8261
Samoa;69,6;2019;WSM;166,7;62,3;197100;47,4;Oceania;30/11/2020;2;;5,606;9,993;;;161500;1,18349533;0,819381025;0,655342132;181
Solomon Islands;23,9;2019;SLB;96,7;36,5;669800;22,2;Oceania;30/11/2020;17;;3,507;24,148;;36,11;507700;-0,835068276;0,757987459;0,408100323;0
South Korea;530,2;2019;KOR;109,9;68,6;51709100;5,4;Asia;30/11/2020;34652;526;13,914;675,409;10,252;57,87;9597600;1,98702865;0,185607562;0,753762133;17503
Sri Lanka;344,7;2019;LKA;60,1;88,3;21323700;6,1;Asia;30/11/2020;23987;118;10,069;1115,814;5,489;49,54;17360700;-0,728224011;0,814150452;0,421187039;2027
Thailand;136,3;2019;THA;99,4;85,8;69625600;12,2;Asia;30/11/2020;4008;60;11,373;57,297;0,858;50;34333400;-0,780419941;0,493114602;0,414793872;39916
Uzbekistan;74,9;2019;UZB;42,6;67,4;32981700;16,9;Asia;30/11/2020;73094;610;4,469;2153,893;17,975;39,81;16341900;-2,619374733;0,495483859;0,189551274;6749
Vanuatu;24,6;2019;VUT;122,8;54,1;299900;25,2;Oceania;30/11/2020;1;;4,394;3,18;;30,56;223700;-0,217596474;0,745915305;0,483730759;256
Vietnam;311,2;2019;VNM;44,9;74,1;96484000;2,6;Asia;30/11/2020;1347;35;7,15;13,721;0,357;46,76;61595800;-1,201135917;0,638404295;0,363262882;18009
Australia;3,3;2019;AUS;3874,2;60,1;25365700;32,1;Oceania;30/11/2020;27912;908;15,504;1082,355;35,21;64,35;3519000;3,441534351;0,138730648;0,931915855;9466
New Zealand;18,8;2019;NZL;3021,6;50,4;4941200;33,7;Oceania;30/11/2020;2059;25;15,322;423,607;5,143;22,22;662200;3,978791099;0,134016028;0,997721227;3888
Albania;105,1;2019;ALB;170,1;73,9;2880900;23,9;Europe;30/11/2020;38182;810;13,188;13290,246;281,942;65,74;1117000;-0,608945433;0,387726058;0,435796761;6406
Belarus;46,5;2019;BLR;261;41,3;9429300;27,5;Europe;30/11/2020;136647;1158;14,799;14470,923;122,632;37,04;2036700;-1,436592711;0,215996946;0,334423185;11832
Bulgaria;64,5;2019;BGR;489,2;63,9;7000000;28,9;Europe;30/11/2020;145300;4035;20,801;21068,185;585,066;53,7;1840900;0,229941046;0,262985714;0,538546959;12552
Croatia;72;2019;HRV;1035,8;33,4;4076200;28,5;Europe;30/11/2020;128442;1786;19,724;31468,102;437,567;47,22;1742500;0,692388991;0,427481478;0,595189447;60021
Czech Republic;138;2019;CZE;1788;52,1;10649800;29,7;Europe;30/11/2020;523298;8295;19,027;48794,388;773,459;69,44;2853800;1,905324952;0,267967474;0,743754734;0
Estonia;30,5;2019;EST;1245,4;51,1;1324800;24,4;Europe;30/11/2020;12308;118;19,452;9287,739;89,044;43,52;418700;2,710419225;0,316047705;0,842365927;6103
Georgia;53,6;2019;GEO;104,7;73,6;3723500;24,8;Asia;30/11/2020;135584;1267;14,864;34068,275;318,36;84,26;1539000;0,79502843;0,4133208;0,60776114;7726
Hungary;107,1;2019;HUN;738,5;31,7;9772800;30,1;Europe;30/11/2020;217122;4823;18,577;22536,677;500,614;72,22;2885600;0,747350716;0,2952685;0,601921381;61397
Latvia;30,9;2019;LVA;735,6;57,1;1920000;26,2;Europe;30/11/2020;17075;206;19,754;9146,012;110,341;53,7;604800;1,742201482;0,315;0,723774714;8342
Lithuania;44,6;2019;LTU;1215,6;65,1;2794200;29;Europe;30/11/2020;61311;620;19,002;22793,363;230,495;57,41;918800;1,956343476;0,328823993;0,750003689;6150
Moldova;123;2019;MDA;121;59,1;4043300;21;Europe;30/11/2020;107364;2304;10,864;26680,749;572,561;57,41;2315700;-1,147799388;0,572725249;0,369795756;174
Poland;125,5;2019;POL;729,1;48,8;38411100;26,9;Europe;30/11/2020;990811;17150;16,763;26214,012;453,74;75;15295000;1,200251465;0,398192189;0,657394491;88515
Serbia;79,6;2019;SRB;386,5;45,1;6963800;24,7;Europe;30/11/2020;175438;1604;17,366;25395,529;232,187;60,19;3045100;-0,574538853;0,437275625;0,440011017;1847
Slovakia;113,4;2019;SVK;1498,3;46,1;5450400;23,7;Europe;30/11/2020;105929;839;15,07;19398,336;153,643;69,44;2514100;1,176601481;0,461268898;0,654497745;0
Slovenia;103,3;2019;SVN;1739,1;38,3;2080900;23,6;Europe;30/11/2020;75814;1435;19,062;36471,43;690,328;87,04;939900;2,058310928;0,451679562;0,762493073;4702
Ukraine;72,5;2019;UKR;114,6;46,9;41983600;26,8;Europe;30/11/2020;752343;12731;16,462;17308,443;292,89;61,57;12963500;-1,723948465;0,308775331;0,299226694;13710
Argentina;16,3;2019;ARG;185,7;49,5;44539700;30;South America;30/11/2020;1424533;38730;11,198;31235,77;849,234;79,17;3435200;-0,64559575;0,077126698;0,431307682;7399
