Country;Mortes_pad;Density;year;code;Healthspd;Government Spending Score;Population;Obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;Rural Population;institutional_index;percentage_rural_pop;institutional_index_new;turismo
Afghanistan;2140,238361;58,3;2019;AFG;7,6;80,3;38041800;5,1;Asia;44165;46215;1763;2,581;1160,148;44,257;12,04;28244500;-4,113827808;0,74245961;0,006504637;0
Albania;739,7641573;105,1;2019;ALB;170,1;73,9;2880900;23,9;Europe;44165;38182;810;13,188;13290,246;281,942;65,74;1117000;-0,608945433;0,387726058;0,435796761;6406000
Argentina;9776,96061;16,3;2019;ARG;185,7;49,5;44539700;30;South America;44165;1424533;38730;11,198;31235,77;849,234;79,17;3435200;-0,64559575;0,077126698;0,431307682;7399000
Australia;8003,526342;3,3;2019;AUS;3874,2;60,1;25365700;32,1;Oceania;44165;27912;908;15,504;1082,355;35,21;64,35;3519000;3,441534351;0,138730648;0,931915855;9466000
Austria;3438,87002;107,4;2019;AUT;4225,4;24,5;8858800;23,2;Europe;44165;282456;3184;19,202;31234,519;352,093;82,41;3674200;3,237040132;0,414751434;0,906868579;31884000
Belgium;4457,519862;377,5;2019;BEL;3645,9;15,2;11431400;25,6;Europe;44165;577345;16645;18,571;49632,774;1430,925;63,89;224000;2,576677253;0,01959515;0,825984671;9343000
Brazil;40036,17342;25,1;2019;BRA;148,8;55,2;210147100;23,8;South America;44165;6335878;173120;8,552;29607,814;808,997;60,65;29035100;-0,880944181;0,138165599;0,402481257;6353000
Canada;13087,40987;4,2;2019;CAN;2489,5;51,3;37593400;32,9;North America;44165;382708;12239;16,984;10053,296;321,504;70,83;6963700;3,526959645;0,185237302;0,942379089;32430000
Chile;4612,899162;25,5;2019;CHL;691,1;81;18952000;30,4;South America;44165;551743;15410;11,087;28718,124;802,088;76,39;1866000;1,912972434;0,098459266;0,744691429;5431000
Colombia;9051,683539;45,4;2019;COL;218,3;75;50339400;23,4;South America;44165;1316806;36766;7,646;25685,836;717,164;60,19;9512100;-0,712316272;0,188959344;0,423135483;4529000
Czech Republic;3661,242745;138;2019;CZE;1788;52,1;10649800;29,7;Europe;44165;523298;8295;19,027;48794,388;773,459;69,44;2853800;1,905324952;0,267967474;0,743754734;0
Denmark;2113,314993;145,2;2019;DNK;4942,5;14,4;5806100;22,3;Europe;44165;81002;837;19,677;13933,905;143,98;45,37;697100;3,805017624;0,120063382;0,976436752;32903000
UK;24697,81093;275,5;2019;GBR;3205,3;48,2;66647100;31,2;Europe;44165;1633736;58545;18,517;23952,575;858,342;67,59;10896600;3,098526348;0,163496986;0,889902852;40857000
Eswatini;86,58940556;66,8;2019;SWZ;133,9;65,6;1148100;14,1;Africa;44165;6419;122;3,163;5475,239;104,063;38,89;872800;-1,93065544;0,760212525;0,27390839;1226000
Finland;2246,429732;18,2;2019;FIN;3490,8;7,2;5517900;26,1;Europe;44165;24912;399;21,228;4489,975;71,913;46,76;802800;3,997395749;0,145490132;1;3290000
France;27423,80408;118,7;2019;FRA;3361,7;3,9;64988200;24,4;Europe;44165;2276830;52818;19,718;33698,738;781,745;75;12536400;2,525228711;0,192902712;0,819683046;0
Germany;36973,4986;237,6;2019;DEU;3477,5;42,3;83019200;27;Europe;44165;1069912;16694;21,453;12752,157;198,974;67,59;18775000;3,264283009;0,226152504;0,910205396;39563000
Greece;4773,193464;83,2;2019;GRC;1054,6;23,3;10724600;28,6;Europe;44165;105271;2406;20,396;10150,763;231,999;78,7;2210800;0,464924902;0,206142886;0,567328729;34005000
Hungary;3374,136133;107,1;2019;HUN;738,5;31,7;9772800;30,1;Europe;44165;217122;4823;18,577;22536,677;500,614;72,22;2885600;0,747350716;0,2952685;0,601921381;61397000
